Titre;question;type de réponse;réponse;statut de la réponse
;Quels sont les 3 objectifs principaux de la loi de santé 2016-41 du 26 janvier 2016 dite loi santé ?;1;Faire diminuer les dépenses de santé (tarification à l’activité…);0
;Quels sont les fournisseurs des indicateurs démographiques ?;1;INED;1
;Quels sont les fournisseurs des indicateurs démographiques ?;1;INSEE;1
;Quels sont les fournisseurs des indicateurs démographiques ?;1;ANSM;0
;Quels sont les fournisseurs des indicateurs démographiques ?;1;CEPS;0
;La Loi de Financement de la Sécurité Sociale fixe chaque année un Objectif National de Dépenses d’Assurance Maladie (ONDAM). Vrai ou Faux ?;2;VRAI;1
;La Loi de Financement de la Sécurité Sociale fixe chaque année un Objectif National de Dépenses d’Assurance Maladie (ONDAM). Vrai ou Faux ?;2;FAUX;0
;Le régime général de Sécurité Sociale est financé principalement par des cotisations et contributions obligatoires provenant des rémunérations des salariés.;2;Oui;1
;Le régime général de Sécurité Sociale est financé principalement par des cotisations et contributions obligatoires provenant des rémunérations des salariés.;2;Non;0
;Qui exécute les visites de certification des établissements de santé ?;2;Des professionnels de santé mandatés par la HAS  ;1
;Qui exécute les visites de certification des établissements de santé ?;2;Des professionnels de santé de l’établissement concerné  ;0
;Quelles sont les affirmations correctes concernant le dossier médical personnel ?;1;Informatisé et sécurisé;1
;Quelles sont les affirmations correctes concernant le dossier médical personnel ?;1;Accessible sur Internet;1
;Quelles sont les affirmations correctes concernant le dossier médical personnel ?;1;La création est faite à la demande du patient;1
;Quelles sont les affirmations correctes concernant le dossier médical personnel ?;1;Est obligatoire;0
;Le dossier pharmaceutique est-il obligatoire ?;2;Oui;0
;Le dossier pharmaceutique est-il obligatoire ?;2;Non;1
;La lutte contre les inégalités sociales et territoriales d’accès à la santé fait partie de la stratégie nationale de santé. Vrai ou Faux ?;2;VRAI;1
;La lutte contre les inégalités sociales et territoriales d’accès à la santé fait partie de la stratégie nationale de santé. Vrai ou Faux ?;2;FAUX;0
;Quelles sont les 2 affirmations correctes concernant les réunions de concertation pluridisciplinaires ?;1;Elles ont lieu uniquement en établissement de santé;1
;Quelles sont les 2 affirmations correctes concernant les réunions de concertation pluridisciplinaires ?;1;Le patient doit être systématiquement présent;0
;Quelles sont les 2 affirmations correctes concernant les réunions de concertation pluridisciplinaires ?;1;Elles améliorent la coordination des soins ville-hôpital;1
;La prévention fait-elle partie intégrante de l’organisation de l’offre de soin ?;2;Oui;1
;La prévention fait-elle partie intégrante de l’organisation de l’offre de soin ?;2;Non;0
;Est-ce que la coopération ville/hôpital influe sur la performance du système de santé ?;2;Oui;1
;Est-ce que la coopération ville/hôpital influe sur la performance du système de santé ?;2;Non;0
;L’ANSM, la HAS, l’Etat et le ministère des solidarités et de la santé sont les autorités impliquées dans la gouvernance de la santé en France.;2;VRAI;1
;L’ANSM, la HAS, l’Etat et le ministère des solidarités et de la santé sont les autorités impliquées dans la gouvernance de la santé en France.;2;FAUX;0
;Pour être efficace, la gouvernance du système de santé doit être lisible, transparente et structurée nationalement et en région ?;2;Oui;1
;Pour être efficace, la gouvernance du système de santé doit être lisible, transparente et structurée nationalement et en région ?;2;Non;0
;Par qui est géré le système de santé en France ?;2;L’état au travers d’instances nationales et régionales;1
;Par qui est géré le système de santé en France ?;2;Les professionnels de santé;0
;Par qui est géré le système de santé en France ?;2;Le ministère de l’économie et des finances;0
;Par qui est géré le système de santé en France ?;2;Les instances européennes;0
;Quelle loi a permis la création des ARS ?;2;La loi Santé de janvier 2016;0
;Quelle loi a permis la création des ARS ?;2;La loi HPST de juillet 2009;1
;Quel est l’objectif principal du parcours de soins coordonnés ?;2;Une meilleure répartition géographique des patients;0
;Quel est l’objectif principal du parcours de soins coordonnés ?;2;Rationaliser les dépenses de santé;1
;Quel est l’objectif principal du parcours de soins coordonnés ?;2;Désengorger les cabinets de spécialistes;0
;Quelles sont les offres de santé proposées dans les maisons de santé pluridisciplinaires ?;1;Soins ;1
;Quelles sont les offres de santé proposées dans les maisons de santé pluridisciplinaires ?;1;Prévention;1
;Quelles sont les offres de santé proposées dans les maisons de santé pluridisciplinaires ?;1;Education;1
;La prise en charge hospitalière, suite à un séjour en service MCO, se fait en établissement de soins de suite et de réadaptation.;2;VRAI;1
;La prise en charge hospitalière, suite à un séjour en service MCO, se fait en établissement de soins de suite et de réadaptation.;2;FAUX;0
;La prescription en DCI est obligatoire pour tous les médicaments. Vrai ou Faux ? :;2;VRAI;1
;La prescription en DCI est obligatoire pour tous les médicaments. Vrai ou Faux ? :;2;FAUX;0
;La mention « non substituable » doit-elle être obligatoirement manuscrite ?;2;Oui;0
;La mention « non substituable » doit-elle être obligatoirement manuscrite ?;2;Non;1
;Les médecins doivent désormais justifier une mention « non substituable » ?;2;Oui;1
;Les médecins doivent désormais justifier une mention « non substituable » ?;2;Non;0
