Titre;question;type de réponse;réponse;statut de la réponse
;Le dosage de la spécialité, le nombre de prises et le nombre d'unités thérapeutiques par prise doivent figurer en toutes lettres sur une ordonnance sécurisée.;2;VRAI;1
;Le dosage de la spécialité, le nombre de prises et le nombre d'unités thérapeutiques par prise doivent figurer en toutes lettres sur une ordonnance sécurisée.;2;FAUX;0
;Quelle affirmation est vraie concernant les médicaments sur Liste I et sur Liste II ?;2;Ils sont soumis à prescription obligatoire;1
;Quelle affirmation est vraie concernant les médicaments sur Liste I et sur Liste II ?;2;Le pharmacien peut les délivrer sans ordonnance;0
;Quelles sont les propositions correctes concernant les mentions devant figurer sur le conditionnement des médicaments de Liste I ?;2;Rectangle blanc à bord rouge pour les produits sur Liste I;1
;Quelles sont les propositions correctes concernant les mentions devant figurer sur le conditionnement des médicaments de Liste I ?;2;Rectangle blanc à bord vert pour les produits sur Liste I;0
;Quelles sont les propositions correctes concernant les mentions devant figurer sur le conditionnement des médicaments de Liste II ?;2;Rectangle blanc à bord rouge pour les produits sur Liste II;0
;Quelles sont les propositions correctes concernant les mentions devant figurer sur le conditionnement des médicaments de Liste II ?;2;Rectangle blanc à bord vert pour les produits sur Liste II;1
;Un médicament soumis à prescription obligatoire n’est pas forcément remboursable.;2;VRAI;1
;Un médicament soumis à prescription obligatoire n’est pas forcément remboursable.;2;FAUX;0
;Un médicament réservé à l’usage hospitalier (RH) peut être distribué en pharmacie de ville.;2;VRAI;0
;Un médicament réservé à l’usage hospitalier (RH) peut être distribué en pharmacie de ville.;2;FAUX;1
;Quelle catégorie de médicaments soumis à prescription restreinte ne peut pas être distribuée en pharmacie de ville ?;2;Réservé à l’usage hospitalier (RH);1
;Quelle catégorie de médicaments soumis à prescription restreinte ne peut pas être distribuée en pharmacie de ville ?;2;Prescription hospitalière (PH);0
;Quelle catégorie de médicaments soumis à prescription restreinte ne peut pas être distribuée en pharmacie de ville ?;2;Prescription initiale hospitalière (PIH);0
;Quelle catégorie de médicaments soumis à prescription restreinte ne peut pas être distribuée en pharmacie de ville ?;2;Prescription réservée à certains spécialistes (PRS);0
;Quelle catégorie de médicaments soumis à prescription restreinte ne peut pas être distribuée en pharmacie de ville ?;2;Médicament nécessitant une surveillance particulière (SP);0
;Quelles sont les affirmations correctes concernant les médicaments dits « de prescription médicale facultative » ?;2;Ils sont soumis à prescription obligatoire;0
;Quelles sont les affirmations correctes concernant les médicaments dits « de prescription médicale facultative » ?;2;Ils peuvent être remboursables si prescrits et inscrits sur la liste des spécialités remboursables;1
;Quelles sont les affirmations correctes concernant les médicaments dits « de prescription médicale facultative » ?;2;La publicité auprès du grand public est possible;0
;En cas de traitement d’une durée de 6 mois, comment le pharmacien doit-il dispenser les médicaments ?;1;Il délivre tout en une seule fois;0
;En cas de traitement d’une durée de 6 mois, comment le pharmacien doit-il dispenser les médicaments ?;1;Il délivre la quantité pour 3 mois en cas de pathologie chronique;1
;En cas de traitement d’une durée de 6 mois, comment le pharmacien doit-il dispenser les médicaments ?;1;Il délivre la quantité pour 30 jours de traitement, le patient reviendra 5 fois;1
;Le pharmacien peut substituer un médicament par un autre appartenant au même groupe générique.;2;VRAI;1
;Le pharmacien peut substituer un médicament par un autre appartenant au même groupe générique.;2;FAUX;0
;Quelle mention doit noter un médecin sur l’ordonnance pour exclure une substitution ?;2;« NS » écrit à la main;0
;Quelle mention doit noter un médecin sur l’ordonnance pour exclure une substitution ?;2;« Non substituable » écrit à la main;1
;Quelle mention doit noter un médecin sur l’ordonnance pour exclure une substitution ?;2;« Non substituable » tapé à l’ordinateur;0
;Lors de la substitution, le pharmacien doit être vigilant aux excipients à effets notoire des génériques.;2;VRAI;1
;Lors de la substitution, le pharmacien doit être vigilant aux excipients à effets notoire des génériques.;2;FAUX;0
